FileName\Heur: 0,0.0,0.01,0.02,0.1,0.3,1,2,3,5,10
a280.tsp,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0,1.0 | 2579.0
ali535.tsp,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0,1.0 | 202339.0
att48.tsp,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0,1.0 | 10628.0
att532.tsp,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0,1.0 | 27686.0
berlin52.tsp,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0,1.0 | 7542.0
bier127.tsp,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0,1.0 | 118282.0
burma14.tsp,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0,1.0 | 3323.0
ch130.tsp,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0,1.0 | 6110.0
ch150.tsp,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0,1.0 | 6528.0
d198.tsp,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0,1.0 | 15780.0
d657.tsp,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0,1.0 | 48912.0
dsj1000.tsp,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0,1.0 | 18660188.0
eil101.tsp,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0,1.0 | 629.0
eil51.tsp,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0,1.0 | 426.0
eil76.tsp,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0,1.0 | 538.0
fl417.tsp,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0,1.0 | 11861.0
gil262.tsp,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0,1.0 | 2378.0
gr137.tsp,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0,1.0 | 69853.0
gr202.tsp,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0,1.0 | 40160.0
